; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ERIC B;;;SSE;PREVCLOSE;365 615 094 488;0;6 979 752;1,20;0,8%;WG;119,00;170 000;20 230 000;n.m.;;;0,6%;0,00%;0;;;0,00;0,0%;0,00;0;0%;3%;4%;20%;10%;22;6,6 ;;;;;0,07;0,04;0,23;0,14;3,8;;;;;;;;;;;
;ESSITY B;;;SSE;LAST;178 857 758 346;0;1 829 567;0,70;0,3%;EE;279,20;44 707;12 482 194;0,01%;;;0,4%;0,00%;71 531;;;1,60;0,6%;0,00;0;-0%;1%;0%;4%;2%;20;1,1 ;;;;;0,01;0,00;0,13;0,08;1,1;;;;;;;;;;;
;ESSITY B;;;SSE;LAST;178 857 758 346;0;1 829 567;0,70;1,5%;WG;279,20;239 937;66 990 410;0,04%;;;2,1%;0,01%;383 899;;;1,60;0,6%;0,00;0;-0%;1%;0%;4%;2%;20;1,1 ;;;;;0,04;0,02;0,70;0,42;6,2;;;;;;;;;;;
;ESSITY B;;;SSE;LAST;178 857 758 346;0;1 829 567;0,70;0,4%;MH;279,20;65 000;18 148 000;0,01%;;;0,6%;0,00%;104 000;;;1,60;0,6%;0,00;0;-0%;1%;0%;4%;2%;20;1,1 ;;;;;0,01;0,01;0,19;0,12;1,7;;;;;;;;;;;
;FAG;;;SSE;LAST;9 639 290 659;0;176 465;1,40;0,0%;EE;54,40;66;3 590;0,00%;;;0,0%;0,00%;73;;;1,10;2,1%;0,00;0;0%;8%;17%;12%;27%;27;11,6 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;FKRFT;;;OSS;LAST;7 382 604 280;0;304 463;0,70;0,4%;WG;64,60;264 108;17 213 223;0,23%;;;0,5%;0,01%;226 490;;;0,85;1,3%;0,00;0;-5%;-7%;-3%;-15%;-22%;32;-9,0 ;;;;;-0,08;-0,05;0,29;0,17;0,1;;;;;;;;;;;
;FPIP;;;SSE;LAST;2 101 131 545;9 363 601;39 772;1,40;0,5%;WG;39,30;278 032;10 926 658;0,52%;;;0,3%;0,00%;55 606;;;0,20;0,5%;0,00;0;6%;27%;24%;27%;41%;32;21,0 ;;;;;0,12;0,07;0,18;0,11;0,0;;;;;;;;;;;
;GETI B;;;SSE;LAST;69 968 148 287;0;956 310;1,00;0,5%;WG;275,30;63 014;17 347 754;0,02%;;;0,5%;0,00%;81 918;;;1,30;0,5%;0,00;0;3%;14%;15%;39%;55%;16;21,6 ;;;;;0,19;0,12;0,14;0,09;0,6;;;;;;;;;;;
;GTAB B;;;NGM;LAST;839 973 162;0;186 134;1,50;0,1%;MH;11,90;183 352;2 181 889;0,26%;;;0,1%;0,00%;47 672;;;0,26;2,2%;0,00;0;3%;27%;37%;19%;-20%;48;13,1 ;;;;;0,01;0,01;0,05;0,03;0,0;;;;;;;;;;;
;HEXA B;; ;SSE;LAST;298 819 601 219;0;422 064;1,20;0,8%;EE;849,40;26 450;22 466 630;0,01%;;;0,7%;0,00%;-68 770;;;-2,60;-0,3%;0,00;0;-2%;5%;10%;11%;27%;21;8,6 ;;;;;0,10;0,06;0,24;0,15;3,5;;;;;;;;;;;
