; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+0,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;-0,007803263;;;;;;;;;;;;;;;;;;11:37:06;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+0,39%;;;;;0,034%;0,022%;0,037%;0,039%;0,132%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;� Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;� SEK 1D;;;� 1D;� 1D;DPS;DIV;� 1W;� MTD;� 1M;� 3M;� 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FING B;;;SSE;LAST;10 994 445 998;0;8 922 522;0,80;-0,2%;EE;35,70;-260 000;-9 282 000;-0,08%;;;-0,3%;0,01%;210 600;;;-0,81;-2,2%;0,00;0;32%;22%;24%;104%;138%;92;60,1 ;;;;;0,52;-0,17;0,79;-0,26;0,1;;;;;;;;;;;
;FORTUM; ;;HSS;LAST;20 786 090 481;0;1 566 679;1,50;-0,9%;EE;23,40;-77 750;-18 442 705;-0,01%;;;-0,6%;0,00%;-126 104;;;0,16;0,7%;0,00;0;4%;3%;1%;11%;35%;19;9,0 ;;;;;0,15;-0,05;0,33;-0,11;-0,2;;;;;;;;;;;
;FORTUM; ;;HSS;LAST;20 786 090 481;0;1 566 679;1,50;-0,1%;WG;23,40;-10 000;-2 372 052;0,00%;;;-0,1%;0,00%;-16 219;;;0,16;0,7%;0,00;0;4%;3%;1%;11%;35%;19;9,0 ;;;;;0,02;-0,01;0,04;-0,01;0,0;;;;;;;;;;;
;GRNG;;;SSE;LAST;12 778 295 884;0;356 699;1,20;-0,6%;EE;120,20;-141 307;-16 985 101;-0,13%;;;-0,5%;0,00%;28 261;;;-0,20;-0,2%;0,00;0;-1%;6%;0%;21%;54%;48;11,9 ;;;;;0,19;-0,06;0,75;-0,25;0,2;;;;;;;;;;;
;HM B;;;SSE;LAST;309 297 296 000;0;3 131 976;0,80;-0,6%;MH;211,75;-110 808;-23 463 594;-0,01%;;;-0,7%;-0,01%;-393 368;;;3,55;1,7%;0,00;0;1%;8%;4%;21%;34%;28;11,1 ;;;;;0,24;-0,08;0,62;-0,21;6,7;;;;;;;;;;;
;ICA;; ;SSE;LAST;82 067 892 360;0;378 932;1,40;-0,5%;JK;408,00;-30 000;-12 240 000;-0,01%;;;-0,4%;0,00%;51 000;;;-1,70;-0,4%;0,00;0;-0%;-4%;-4%;-3%;-6%;14;-2,8 ;;;;;-0,03;0,01;0,15;-0,05;0,9;;;;;;;;;;;
;INDT;; ;SSE;LAST;81 631 567 500;0;440 569;1,00;-0,3%;WG;224,50;-44 241;-9 932 105;-0,01%;;;-0,3%;0,00%;39 817;;;-0,90;-0,4%;0,00;0;0%;11%;10%;31%;39%;20;15,4 ;;;;;0,14;-0,05;0,18;-0,06;0,7;;;;;;;;;;;
;INDT;; ;SSE;LAST;81 631 567 500;0;440 569;1,00;-0,2%;MH;224,50;-28 646;-6 431 027;-0,01%;;;-0,2%;0,00%;25 781;;;-0,90;-0,4%;0,00;0;0%;11%;10%;31%;39%;20;15,4 ;;;;;0,09;-0,03;0,12;-0,04;0,5;;;;;;;;;;;
;INDT;; ;SSE;LAST;81 631 567 500;0;440 569;1,00;-0,3%;EE;224,50;-50 000;-11 225 000;-0,01%;;;-0,3%;0,00%;45 000;;;-0,90;-0,4%;0,00;0;0%;11%;10%;31%;39%;20;15,4 ;;;;;0,16;-0,05;0,20;-0,07;0,8;;;;;;;;;;;
;INDU A;; ;SSE;LAST;86 864 728 417;0;183 289;1,00;-0,8%;EE;325,20;-82 000;-26 666 400;-0,03%;;;-0,8%;0,00%;32 800;;;-0,40;-0,1%;0,00;0;-5%;1%;2%;14%;30%;23;6,0 ;;;;;0,15;-0,05;0,56;-0,19;2,1;;;;;;;;;;;
;INTRUM;;;SSE;LAST;36 187 628 921;0;249 133;0,80;-0,1%;EE;297,30;-16 190;-4 813 287;-0,01%;;;-0,1%;0,00%;-69 617;;;4,30;1,5%;0,00;0;1%;6%;10%;33%;22%;26;13,1 ;;;;;0,06;-0,02;0,12;-0,04;0,2;;;;;;;;;;;
;INTRUM;;;SSE;LAST;36 187 628 921;0;249 133;0,80;-0,3%;MH;297,30;-40 000;-11 892 000;-0,03%;;;-0,4%;-0,01%;-172 000;;;4,30;1,5%;0,00;0;1%;6%;10%;33%;22%;26;13,1 ;;;;;0,14;-0,05;0,29;-0,10;0,4;;;;;;;;;;;
;INWI;;;SSE;LAST;8 874 828 537;0;122 245;0,80;-0,2%;EE;153,10;-61 047;-9 346 296;-0,11%;;;-0,3%;-0,01%;-225 874;;;3,70;2,5%;0,00;0;4%;6%;12%;27%;56%;30;19,0 ;;;;;0,16;-0,06;0,26;-0,09;0,1;;;;;;;;;;;
;JM;; ;SSE;LAST;22 611 080 987;0;194 165;1,30;-1,2%;EE;324,95;-95 015;-30 875 124;-0,14%;;;-1,0%;-0,01%;-232 787;;;2,45;0,8%;0,00;0;-0%;10%;8%;7%;17%;22;6,0 ;;;;;0,17;-0,06;0,64;-0,21;0,6;;;;;;;;;;;
;KEMIRA;;;HSS;LAST;2 227 612 267;0;271 830;1,00;-0,4%;EE;14,34;-77 809;-11 310 645;-0,05%;;;-0,4%;0,00%;-15 775;;;0,02;0,1%;0,00;0;1%;10%;7%;0%;22%;18;5,9 ;;;;;0,06;-0,02;0,18;-0,06;0,0;;;;;;;;;;;
;KESKOB;;;HSS;LAST;7 134 181 198;0;804 914;1,00;-1,2%;EE;26,12;-142 575;-37 750 693;-0,05%;;;-1,2%;-0,01%;-216 792;;;0,15;0,6%;0,00;0;2%;0%;3%;19%;16%;24;7,7 ;;;;;0,27;-0,09;0,84;-0,28;0,2;;;;;;;;;;;
;KESKOB;;;HSS;LAST;7 134 181 198;0;804 914;1,00;-2,4%;MH;26,12;-291 718;-77 240 446;-0,11%;;;-2,4%;-0,01%;-443 571;;;0,15;0,6%;0,00;0;2%;0%;3%;19%;16%;24;7,7 ;;;;;0,55;-0,19;1,72;-0,58;0,5;;;;;;;;;;;
;KESKOB;;;HSS;LAST;7 134 181 198;0;804 914;1,00;-0,2%;JK;26,12;-30 000;-7 943 334;-0,01%;;;-0,2%;0,00%;-45 616;;;0,15;0,6%;0,00;0;2%;0%;3%;19%;16%;24;7,7 ;;;;;0,06;-0,02;0,18;-0,06;0,1;;;;;;;;;;;
;LATO B;; ;SSE;LAST;153 144 200 587;0;285 853;0,90;-0,3%;WG;258,60;-35 000;-9 051 000;-0,01%;;;-0,3%;0,00%;-63 000;;;1,80;0,7%;0,00;0;4%;14%;18%;34%;22%;18;16,8 ;;;;;0,14;-0,05;0,15;-0,05;1,3;;;;;;;;;;;
;LEO;; ;SSE;LAST;5 209 714 713;0;619 492;0,90;-0,1%;EE;51,25;-57 247;-2 933 909;-0,06%;;;-0,1%;0,00%;-22 899;;;0,40;0,8%;0,00;0;-3%;0%;3%;45%;61%;27;17,8 ;;;;;0,05;-0,02;0,07;-0,02;0,0;;;;;;;;;;;
;LUND B;; ;SSE;LAST;74 145 600 000;0;94 714;0,90;-0,9%;WG;487,80;-62 623;-30 547 499;-0,04%;;;-0,9%;0,00%;100 197;;;-1,60;-0,3%;0,00;0;-1%;2%;4%;8%;16%;10;4,8 ;;;;;0,14;-0,05;0,29;-0,10;2,1;;;;;;;;;;;
;LUND B;; ;SSE;LAST;74 145 600 000;0;94 714;0,90;-0,7%;MH;487,80;-53 792;-26 239 738;-0,04%;;;-0,8%;0,00%;86 067;;;-1,60;-0,3%;0,00;0;-1%;2%;4%;8%;16%;10;4,8 ;;;;;0,12;-0,04;0,25;-0,08;1,8;;;;;;;;;;;
;MAERSK B;; ;CSS;LAST;198 462 845 358;0;26 520;1,20;-0,5%;EE;15435,00;-675;-14 202 149;-0,01%;;;-0,4%;-0,01%;-243 833;;;265,00;1,7%;0,00;0;1%;5%;13%;13%;50%;28;14,2 ;;;;;0,19;-0,06;0,37;-0,12;2,6;;;;;;;;;;;
;MATAS;; ;CSS;LAST;4 815 177 615;0;151 242;1,20;-0,1%;EE;92,25;-20 432;-2 569 336;-0,05%;;;-0,1%;0,00%;2 785;;;-0,10;-0,1%;0,00;0;0%;11%;9%;18%;22%;27;9,8 ;;;;;0,02;-0,01;0,06;-0,02;0,0;;;;;;;;;;;
;MCOV B;; ;SSE;LAST;16 716 927 560;0;67 249;0,90;-0,2%;MH;239,50;-28 445;-6 812 578;-0,04%;;;-0,2%;-0,01%;-170 670;;;6,00;2,6%;0,00;0;6%;28%;28%;49%;74%;30;31,5 ;;;;;0,20;-0,07;0,19;-0,06;0,1;;;;;;;;;;;
;MOWI;;;OSS;LAST;107 972 797 680;0;784 816;1,50;-0,3%;WG;208,80;-27 146;-5 718 531;n.m.;;;-0,2%;0,00%;-90 379;;;3,30;1,6%;0,00;0;2%;-2%;2%;13%;27%;20;7,9 ;;;;;0,04;-0,01;0,10;-0,04;0,6;;;;;;;;;;;
;NENT B;; ;SSE;PREVCLOSE;31 574 348 491;0;211 482;0,90;-0,3%;MH;407,80;-25 539;-10 414 804;-0,03%;;;-0,3%;0,00%;0;;;0,00;0,0%;0,00;0;-2%;5%;2%;-14%;13%;35;-0,8 ;;;;;-0,01;0,00;0,33;-0,11;0,3;;;;;;;;;;;
;NENT B;; ;SSE;PREVCLOSE;31 574 348 491;0;211 482;0,90;-0,2%;WG;407,80;-16 400;-6 687 920;-0,02%;;;-0,2%;0,00%;0;;;0,00;0,0%;0,00;0;-2%;5%;2%;-14%;13%;35;-0,8 ;;;;;-0,01;0,00;0,21;-0,07;0,2;;;;;;;;;;;
;NIBE B;; ;SSE;LAST;142 064 857 805;0;527 648;0,90;-0,2%;MH;318,90;-20 000;-6 378 000;0,00%;;;-0,2%;0,00%;-22 000;;;1,10;0,3%;0,00;0;4%;18%;19%;8%;44%;23;15,4 ;;;;;0,09;-0,03;0,13;-0,05;0,8;;;;;;;;;;;
;NIBE B;;;SSE;LAST;142 064 857 805;0;527 648;0,80;-0,1%;WG;318,90;-18 590;-5 928 351;0,00%;;;-0,2%;0,00%;-20 449;;;1,10;0,3%;0,00;0;4%;18%;19%;8%;44%;23;15,4 ;;;;;0,08;-0,03;0,13;-0,04;0,8;;;;;;;;;;;
;NNIT;; ;CSS;LAST;3 735 031 000;2 997 057;20 208;1,10;-0,2%;MH;109,60;-47 553;-7 104 477;-0,19%;;;-0,2%;0,00%;-12 964;;;0,20;0,2%;0,00;0;1%;3%;5%;-3%;-12%;26;-0,7 ;;;;;0,00;0,00;0,17;-0,06;0,0;;;;;;;;;;;
;NOBI;; ;SSE;LAST;12 576 171 873;0;333 858;0,90;-0,4%;EE;73,85;-206 819;-15 273 583;-0,12%;;;-0,5%;0,00%;-41 364;;;0,20;0,3%;0,00;0;2%;11%;10%;14%;25%;13;10,3 ;;;;;0,14;-0,05;0,18;-0,06;0,2;;;;;;;;;;;
;ONCO;; ;SSE;LAST;10 091 404 512;0;498 607;0,90;-0,1%;MH;134,40;-30 000;-4 032 000;-0,04%;;;-0,1%;0,00%;-72 000;;;2,40;1,8%;0,00;0;-2%;-7%;-7%;-16%;-23%;52;-9,4 ;;;;;-0,04;0,01;0,19;-0,07;0,0;;;;;;;;;;;
;OVZON;;;SSE;LAST;3 926 174 011;0;73 101;0,80;-0,1%;EE;84,90;-50 000;-4 245 000;-0,11%;;;-0,1%;0,00%;155 000;;;-3,10;-3,5%;0,00;0;4%;12%;16%;-8%;28%;62;8,6 ;;;;;0,03;-0,01;0,24;-0,08;0,0;;;;;;;;;;;
;PCELL;; ;SSE;LAST;12 396 645 590;0;867 043;0,90;-0,2%;EE;239,00;-30 000;-7 170 000;-0,06%;;;-0,2%;0,00%;60 000;;;-2,00;-0,8%;0,00;0;-0%;-7%;3%;-45%;3%;61;-7,9 ;;;;;-0,05;0,02;0,41;-0,14;0,1;;;;;;;;;;;
;PNDX B;; ;SSE;LAST;17 383 344 840;0;376 466;1,30;-1,3%;WG;159,70;-209 480;-33 453 956;-0,19%;;;-1,0%;-0,01%;-418 960;;;2,00;1,3%;0,00;0;0%;8%;8%;23%;59%;27;16,1 ;;;;;0,50;-0,17;0,82;-0,28;0,5;;;;;;;;;;;
;PNDX B;; ;SSE;LAST;17 383 344 840;0;376 466;1,30;-0,5%;MH;159,70;-85 000;-13 574 500;-0,08%;;;-0,4%;-0,01%;-170 000;;;2,00;1,3%;0,00;0;0%;8%;8%;23%;59%;27;16,1 ;;;;;0,20;-0,07;0,33;-0,11;0,2;;;;;;;;;;;
;READ;; ;SSE;LAST;1 998 734 771;0;372 278;0,90;-0,1%;MH;54,40;-90 000;-4 896 000;-0,24%;;;-0,2%;0,00%;90 000;;;-1,00;-1,8%;0,00;0;-4%;-3%;-8%;-31%;-1%;50;-10,4 ;;;;;-0,05;0,02;0,23;-0,08;0,0;;;;;;;;;;;
;SAA1V;;;HSS;LAST;2 482 926 764;986 144;73 591;1,00;-0,4%;MH;15,18;-80 000;-12 310 342;-0,05%;;;-0,4%;-0,01%;-227 068;;;0,28;1,9%;0,00;0;5%;6%;5%;-4%;22%;27;5,8 ;;;;;0,07;-0,02;0,30;-0,10;0,0;;;;;;;;;;;
;SAGA B;; ;SSE;LAST;64 923 155 412;0;324 812;0,90;-0,1%;WG;222,00;-15 000;-3 330 000;-0,01%;;;-0,1%;0,00%;-3 000;;;0,20;0,1%;0,00;0;2%;18%;18%;32%;42%;20;18,7 ;;;;;0,06;-0,02;0,06;-0,02;0,2;;;;;;;;;;;
;SAGA B;;;SSE;LAST;64 923 155 412;0;324 812;1,20;-0,4%;MH;222,00;-50 000;-11 100 000;-0,02%;;;-0,3%;0,00%;-10 000;;;0,20;0,1%;0,00;0;2%;18%;18%;32%;42%;20;18,7 ;;;;;0,19;-0,06;0,20;-0,07;0,7;;;;;;;;;;;
;SAND;;;SSE;LAST;286 878 060 590;0;2 942 143;1,20;-0,9%;EE;228,70;-109 086;-24 947 968;-0,01%;;;-0,8%;0,00%;54 543;;;-0,50;-0,2%;0,00;0;-6%;-4%;0%;5%;31%;30;3,6 ;;;;;0,08;-0,03;0,70;-0,23;6,6;;;;;;;;;;;
;SAND;;;SSE;LAST;286 878 060 590;0;2 942 143;1,20;-0,3%;WG;228,70;-30 000;-6 861 000;0,00%;;;-0,2%;0,00%;15 000;;;-0,50;-0,2%;0,00;0;-6%;-4%;0%;5%;31%;30;3,6 ;;;;;0,02;-0,01;0,19;-0,06;1,8;;;;;;;;;;;
;SAS;;;SSE;LAST;14 750 059 763;0;47 929 057;0,80;-0,2%;MH;2,03;-4 815 843;-9 776 161;-0,07%;;;-0,3%;0,00%;-105 949;;;0,02;1,1%;0,00;0;1%;1%;10%;24%;-6%;37;7,3 ;;;;;0,07;-0,02;0,33;-0,11;0,1;;;;;;;;;;;
;SCATC;;;OSS;LAST;42 019 530 645;0;1 199 421;0,70;-0,2%;EE;264,50;-42 350;-11 301 269;-0,03%;;;-0,4%;0,00%;-145 272;;;3,40;1,3%;0,00;0;-5%;2%;13%;-28%;29%;59;0,9 ;;;;;0,01;0,00;0,62;-0,21;-0,2;;;;;;;;;;;
;SECT B;; ;SSE;LAST;21 363 357 190;0;61 718;1,20;-0,2%;WG;595,00;-7 200;-4 284 000;-0,02%;;;-0,1%;0,00%;-28 800;;;4,00;0,7%;0,00;0;1%;8%;3%;-19%;-2%;32;-2,7 ;;;;;-0,01;0,00;0,13;-0,04;0,1;;;;;;;;;;;
;SHOT;;;SSE;LAST;7 286 929 533;0;2 417 271;1,50;-0,7%;WG;38,10;-384 915;-14 665 262;-0,20%;;;-0,5%;0,00%;15 397;;;-0,04;-0,1%;0,00;0;-1%;6%;4%;24%;56%;35;14,0 ;;;;;0,19;-0,06;0,48;-0,16;0,1;;;;;;;;;;;
;SINCH;; ;SSE;LAST;102 755 511 720;0;208 559;0,90;-0,2%;WG;1580,00;-5 480;-8 658 400;-0,01%;;;-0,3%;0,00%;158 920;;;-29,00;-1,8%;0,00;0;-8%;3%;4%;20%;91%;43;16,0 ;;;;;0,13;-0,04;0,34;-0,12;0,8;;;;;;;;;;;
;SVOL B;;;SSE;LAST;6 195 741 043;0;48 716;1,30;-0,1%;WG;254,40;-10 331;-2 628 206;-0,04%;;;-0,1%;0,00%;-14 463;;;1,40;0,6%;0,00;0;5%;17%;23%;39%;57%;29;24,9 ;;;;;0,06;-0,02;0,07;-0,02;0,0;;;;;;;;;;;
;SWED A;;;SSE;LAST;173 106 315 008;0;3 247 522;1,30;-0,9%;EE;152,92;-150 000;-22 938 000;-0,01%;;;-0,7%;0,00%;-108 000;;;0,72;0,5%;0,00;0;-4%;-1%;-3%;-5%;2%;20;-2,8 ;;;;;-0,06;0,02;0,41;-0,14;3,7;;;;;;;;;;;
;TELIA;;;SSE;LAST;144 057 276 703;0;13 471 230;1,30;-0,5%;EE;35,23;-327 150;-11 523 859;-0,01%;;;-0,4%;0,00%;-52 344;;;0,16;0,5%;0,00;0;-3%;-7%;-7%;-4%;-3%;22;-4,4 ;;;;;-0,05;0,02;0,23;-0,08;1,5;;;;;;;;;;;
;TOKMAN;;;HSS;LAST;1 312 773 170;0;129 511;1,00;-0,4%;MH;22,30;-50 960;-11 519 739;-0,09%;;;-0,4%;0,00%;-82 653;;;0,16;0,7%;0,00;0;4%;12%;15%;42%;49%;16;21,5 ;;;;;0,23;-0,08;0,17;-0,06;0,0;;;;;;;;;;;
;TOKMAN;;;HSS;LAST;1 312 773 170;0;129 511;1,00;-0,6%;EE;22,30;-83 566;-18 890 474;-0,14%;;;-0,6%;0,00%;-135 537;;;0,16;0,7%;0,00;0;4%;12%;15%;42%;49%;16;21,5 ;;;;;0,38;-0,13;0,28;-0,09;0,0;;;;;;;;;;;
;TOM;;;OSS;LAST;59 592 884 208;0;231 633;1,50;-0,4%;EE;402,60;-22 200;-9 017 266;n.m.;;;-0,3%;0,01%;255 332;;;-11,40;-2,8%;0,00;0;-3%;9%;7%;-3%;3%;41;0,7 ;;;;;0,01;0,00;0,34;-0,11;0,5;;;;;;;;;;;
;TYRES;;;HSS;LAST;4 371 867 473;0;388 439;1,00;-0,2%;EE;31,47;-20 850;-6 651 371;-0,02%;;;-0,2%;0,00%;-10 568;;;0,05;0,2%;0,00;0;-1%;2%;5%;5%;17%;28;4,9 ;;;;;0,03;-0,01;0,18;-0,06;0,0;;;;;;;;;;;
;VOLV B;;;SSE;LAST;333 259 776 152;0;6 504 105;1,30;-0,6%;EE;209,80;-68 622;-14 396 896;0,00%;;;-0,4%;0,00%;113 226;;;-1,65;-0,8%;0,00;0;-3%;-5%;-7%;-1%;14%;33;-1,2 ;;;;;-0,02;0,01;0,44;-0,15;4,4;;;;;;;;;;;
;VOLV B;;;SSE;LAST;333 259 776 152;0;6 504 105;0,60;-0,2%;JK;209,80;-40 000;-8 392 000;0,00%;;;-0,3%;0,00%;66 000;;;-1,65;-0,8%;0,00;0;-3%;-5%;-7%;-1%;14%;33;-1,2 ;;;;;-0,01;0,00;0,26;-0,09;-1,4;;;;;;;;;;;
;WIHL;; ;SSE;LAST;29 989 495 266;0;206 685;1,20;-0,2%;WG;195,10;-25 000;-4 877 500;-0,02%;;;-0,2%;0,00%;-92 500;;;3,70;1,9%;0,00;0;4%;18%;15%;10%;11%;18;9,6 ;;;;;0,04;-0,01;0,08;-0,03;0,1;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;86 984;1,00;0,0%;EE;0,00;-250;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;2%;3%;14%;23%;10;7,1 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;86 984;1,00;0,0%;JK;0,00;-225;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;2%;3%;14%;23%;10;7,1 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;86 984;1,00;0,0%;WG;0,00;-1 194;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;2%;3%;14%;23%;10;7,1 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;OMXS301D;; ;SO;PREVCLOSE;165 000 000 000;0;86 984;1,00;0,0%;MH;0,00;-170;0;n.m.;;;0,0%;0,00%;0;;;0,00;0,0%;0,00;0;0%;2%;3%;14%;23%;10;7,1 ;;;;;0,00;0,00;0,00;0,00;0,0;;;;;;;;;;;
;SHORT;;;;;;13 184 515;;;-34,7%;;;;-1 081 304 451;;;;-33,6%;-0,133%;-4 296 590;;;;0,40%;n.m.;0;5,7%;6,9%;6,9%;14,2%;28,8%;28,3;9,0;;;;;9,0;-3,0;28,3;-9,5;74,1;;;;;;;;;;;
;E Q U I T Y;;;;;;396 255 513;;;27,3%;;;;861 696 333;;;;26,7%;0,132%;4 262 389;;;EXPOSURE;JK;WG;MH;EE;TOTAL;JK;WG;MH;EE;TOTAL;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OUTPOST24;;;INGEN;PREVCLOSE;0;n.m.;0;1,00;0,8%;JK;435,68;57 382;24 999 926;n.m.;;;0,8%;0,00%;0;;;;;;;;;;;;;;;;;;0,00;0,00;n.m.;n.m.;0,0;;;;;;;;;;;
;ACQ SPAC;;;SSE;LAST;3 762 500 000;0;128 867;1,00;1,6%;JK;107,50;490 000;52 675 000;n.m.;;;1,6%;-0,01%;-245 000;;;-0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;F U N D S;;;;Price;Accrued;Calc Accr;;;;;0,000;;77 674 926;0;;;2,4%;-0,01%;-245 000;;;Eq long;4,7%;21,7%;17,3%;16,6%;60,3%;0,03%;0,05%;0,10%;0,08%;0,26%;;;;;;;;;;;;;;;;;;;;
;BMW FRN 230619;;;SSE;100,586;8 347;14 019;;1,0;;JK;100,586;20 000 000;20 125 547;20 072 373;;;0,6%;;53 173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CATB FRN 250317;;;SSE;100,559;68 366;103 610;;1,0;;JK;100,559;20 000 000;20 180 166;20 137 012;;;0,6%;;43 153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CATME HO1;;;SOX;92,140;0;249 635;;1,0;;MH;92,140;10 555 500;9 725 838;9 908 045;;;0,3%;;-182 207;;;;;;;;;;;;;;;;;;;;#REFERENS!;;#REFERENS!;;;;;;;;;;;
;GETINGE FRN 210521;;;SSE;100,085;48 249;66 387;;1,0;;JK;100,085;24 000 000;24 068 649;24 062 113;;;0,7%;;6 536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIFCOB FRN 211206;;;SSE;100,134;15 711;66 387;;1,0;;JK;100,134;32 000 000;32 058 591;32 054 804;;;1,0%;;3 787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIFCOB FRN 230302;;;SSE;100,724;8 801;12 384;;1,0;;JK;100,724;8 000 000;8 066 721;8 063 265;;;0,3%;;3 456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SBAB FRN 210617;;;SSE;100,821;1 034 958;1 026 138;;1,0;;JK;100,821;25 000 000;26 240 208;26 226 858;;;0,8%;;13 350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SCANIA FRN 220822;;;SSE;100,352;42 671;60 622;;1,0;;JK;100,352;50 000 000;50 218 671;50 201 221;;;1,6%;;17 450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SFSS FRN 240630;;;SSE;104,360;27 891;49 813;;1,0;;JK;104,360;12 500 000;13 072 891;13 109 953;;;0,4%;;-37 063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;STERV FRN 240220;;;SSE;102,504;155 384;217 360;;1,0;;JK;102,504;80 000 000;82 158 584;82 086 931;;;2,6%;;71 653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TELIA FRN 221004;;;SSE;102,807;26 418;501 698;;1,0;;JK;102,807;55 000 000;56 570 268;56 937 164;;;1,8%;;33 104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TELNO FRN 210920;;;SSE;100,143;19 688;38 400;;1,0;;JK;100,143;75 000 000;75 126 938;75 120 188;;;2,3%;;6 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;VW FRN 210416;;;SSE;100,001;47 250;59 780;;1,0;;JK;100,001;30 000 000;30 047 550;30 043 200;;;0,9%;;4 350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SHOTSS;;;SSE;95,392;0;11 250;;1,0;;WG;95,392;7 500 000;7 154 400;6 864 975;;;0,2%;;289 425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B O N D S;;;;;;;;;;;;;454 815 021;;;;13,5%;;326 918;;;Eq short;1,3%;6,6%;9,7%;16,0%;33,6%;0,00%;-0,03%;-0,06%;-0,04%;-0,13%;;;;;;;;;;;;;;;;;;;;
;AMBEA CERT 210714;;;SSE;99,85317;0;;;1,0;;;99,853;50 000 000;49 926 585;49 917 113;;;1,5%;;9 473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BRAVIDA CERT 210630;;;SSE;99,90136;0;;;1,0;;;99,901;50 000 000;49 950 681;49 943 190;;;1,6%;;7 491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC HEXAGON 210519;;;SSE;99,95919;0;;;1,0;;;99,959;50 000 000;49 979 596;49 979 596;;;1,6%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC INTRJ 210712;;;SSE;99,73529;0;;;1,0;;;99,735;50 000 000;49 867 643;49 867 643;;;1,5%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC SSAB 210823;;;SSE;99,79728;0;;;1,0;;;99,797;50 000 000;49 898 641;49 889 496;;;1,5%;;9 145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC VASA 210525;;;SSE;99,98806;0;;;1,0;;;99,988;125 000 000;124 985 079;124 980 916;;;3,9%;;4 164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC WALL 210517;;;SSE;99,97085;0;;;1,0;;;99,971;20 000 000;19 994 170;19 992 171;;;0,6%;;1 999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KLARNA CERT 210618;;;SSE;99,87388;0;;;1,0;;;99,874;50 000 000;49 936 939;49 925 645;;;1,5%;;11 295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
