; ;;;;;;2017-12-28;;2017-12-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;OMX:;+2,07%;;;;;JK:;WG:;MH:;EE:;TOT:;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;0,018808777;;;;;;;;;;;;;;;;;;14:38:18;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;CSX:;+1,50%;;;;;0,063%;0,151%;0,252%;-0,053%;0,412%;;;;;;;;;;MOM;MOM;VOL;VOL;MCAP;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;2021-04-12;;;;;;;;;;;;;;;;;;;;;;;;;L/S ;PORTO;L/S ;PORTO;L/S ;;;;;;;;;;;
;TICKER;;;Market;Price;MarketCap;5 days;ADV;Beta 2Y;ß Net;PM;PRICE;VOLUME;VALUE;SIZE;;;WEIGHT;% 1D;∆ SEK 1D;;;∆ 1D;∆ 1D;DPS;DIV;∆ 1W;∆ MTD;∆ 1M;∆ 3M;∆ 6M;VOL 30D;MOM;;;;;WEIGHT;WEIGHT;WEIGHT;WEIGHT;WEIGHT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B O N D S;;;;;;;;;;;;;454 815 021;;;;13,5%;;326 918;;;Eq short;1,2%;6,4%;9,6%;15,9%;33,3%;-0,02%;-0,09%;-0,14%;-0,32%;-0,58%;;;;;;;;;;;;;;;;;;;;
;AMBEA CERT 210714;;;SSE;99,85317;0;;;1,0;;;99,853;50 000 000;49 926 585;49 917 113;;;1,6%;;9 473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BRAVIDA CERT 210630;;;SSE;99,90136;0;;;1,0;;;99,901;50 000 000;49 950 681;49 943 190;;;1,6%;;7 491;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC HEXAGON 210519;;;SSE;99,95919;0;;;1,0;;;99,959;50 000 000;49 979 596;49 979 596;;;1,6%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC INTRJ 210712;;;SSE;99,73529;0;;;1,0;;;99,735;50 000 000;49 867 643;49 867 643;;;1,6%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC SSAB 210823;;;SSE;99,79728;0;;;1,0;;;99,797;50 000 000;49 898 641;49 889 496;;;1,6%;;9 145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC VASA 210525;;;SSE;99,98806;0;;;1,0;;;99,988;125 000 000;124 985 079;124 980 916;;;3,9%;;4 164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FC WALL 210517;;;SSE;99,97085;0;;;1,0;;;99,971;20 000 000;19 994 170;19 992 171;;;0,6%;;1 999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KLARNA CERT 210618;;;SSE;99,87388;0;;;1,0;;;99,874;50 000 000;49 936 939;49 925 645;;;1,6%;;11 295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KLÖVERN CERT 210414;;;SSE;99,99529;0;;;1,0;;;99,995;50 000 000;49 997 644;49 983 506;;;1,6%;;14 138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;KLÖVERN CERT 210616;;;SSE;99,74233;0;;;1,0;;;99,742;50 000 000;49 871 166;49 983 506;;;1,6%;;-112 340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;C E R T;;;;;;;;;;;;;544 408 146;;;;16,9%;;57 705;;;GROSS EQ;5,8%;27,8%;26,9%;32,5%;93,0%;0,06%;0,15%;0,25%;-0,05%;0,41%;;;;;;;;;;;;;;;;;;;;
;C A S H;;;;;;;;;;;;;1 297 311 989;;;;40,4%;;;;;NET EQ;3,3%;15,0%;7,6%;0,6%;26,5%;1,9%;1,1%;2,3%;1,6%;1,7%;;;;;;;;;;;;;;;;;;;;
;D E B T & C A S H;;;;;;;;;;;;;2 373 965 082;;;;73,3%;0,00%;-98 000;;;ß NET;3,4%;15,7%;7,8%;0,0%;26,9%;1,8%;1,4%;1,5%;2,0%;1,7%;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;Unlisted;;;;;2,4%;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;
;MONTH GROSS;;;;;;;;;;IB:;3 178 317 687;UB:;3 223 742 399;1,429%;;;GROSS;0,409%;13 185 304;;;Bonds;;;;;13,5%;22;64;44;81;0;;;;;;;;;;;;;;;;;;;;
;FIXED FEES;;;;;;;;;;;;;-2 648 598,1;-0,083%;;;;;;;;GROSS;5,8%;27,8%;26,9%;32,5%;108,9%;;VOL 30D:;MCAP:;DKK;1,371;;;;;;;;;;;;;;;;;;;;
;MONTH PRE PERF FEES;;;;;;;;;;;;;3 221 093 801;1,346%;;;;;;;;Cert;;;;;16,9%;LONG;31,5;54,7;NOK;1,020;;;;;;;;;;;;;;;;;;;;
;PERF FEES;;;;;;;;;;;;;-8 629 383;-0,272%;;;NAV:;0,167%;5 368 881;;;Cash;;;;;40,4%;SHORT;27,9;74,6;EUR;10,195;;;;;;;;;;;;;;;;;;;;
;MONTH NET;;;;;;;;;;;;;3 212 464 417;1,074%;;;;;;;;TOTAL;;;;;97,3%;;;;USD;8,499;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PERFORMANCE;;;;;;;;;;;;;;;;;HURDLE;;;;;PM;JK;WG;MH;EE;TOT;INDEX;1D;MTD;YTD;LIQ 5D:;;;;;;;;;;;;;;;;;;;;
;2021 YTD;;;;;;;;;;;;;;1,58%;;;SSVX 90;;-0,012%;;;TRADES;0;0;0;0;0;OMXS30;2,07%;1,0%;19,5%;87,8%;;;;;;;;;;;;;;;;;;;;
;SINCE INCEPTION ;;;;;;;;;;;;;;122,2%;;;PERF MULTIPLIER;;0,2;;;BPS;0,000%;0,000%;0,000%;0,000%;0,000%;CSX;1,50%;0,0%;15,4%;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AUM;;
;TICKER;;;;;;;;;;;SELECT;ALCUR;TOTAL;SIZE;;;SENAST;DATUM;RAPPA;;;FX;;;;;;DKK;EUR;NOK;;;;;;;;;;;;;;;;;;10 000;15 000;20 000;25 000;30 000
;PNDX B;;;SSE;LAST;;;;;;;-890 366;-294 480;-1 184 846;-0,644%;;;0,6;21-03-16;;;;LONG;;;;;;129 888 771;5 518 488;94 783 199;lokal fx;;;;;;;;;;;;;;;;Net profit;45,1;76,1;107,1;138,1;169,1
;SHOT;;;SSE;LAST;;;;;;;-695 602;-384 915;-1 080 517;-0,565%;;;0,5;21-04-09;;;;SHORT;;;;;;-17 964 670;-22 969 130;-61 685 746;lokal fx;;;;;;;;;;;;;;;;;;;;;
;BMAX;;;SSE;LAST;;;;;;;0;-348 537;-348 537;-0,571%;;;0,5;21-03-24;;;;CASH;;;;;;-99 553 792;14 703 908;3 160 198;;;;;;;;;;;;;;;;;;;;;;
;READ;;;SSE;LAST;;;;;;;-91 707;-90 000;-181 707;-0,495%;;;0,4;20-09-25;;;;NET;;;;;;12 370 309;-2 746 734;36 257 651;;;;;;;;;;;;;;;;;;;;;;
;SVOL B;;;SSE;LAST;;;;;;;-94 603;-10 331;-104 934;-0,410%;;;0,4;20-09-24;;;;LIVE;;;;;;1,371;10,195;1,020;;;;;;;;;;;;;;;;;;;;;;
;ENEA;;;SSE;LAST;;;;;;;-17 101;-44 110;-61 211;-0,283%;;;0,2;20-10-08;;;;YDAY;;;;;;1,373;10,210;1,010;;;;;;;;;;;;;;;;;;;;;;
;DUST;;;SSE;LAST;;;;;;;-47 553;-163 856;-211 409;-0,238%;;;0,2;21-03-11;;;;DIFF;;;;;;159 286;-213 207;31 160;;;;;;;;;;;;;;;;;;;;;;
